id;nom;code;latitude;longitude;altitude;adresse;ville;code_postal;zone_tarifaire;equipements;photo;photo_content_type;accessible_pmr;actif
1;novice volontiers du côté de;placide;3.01;46.58;9103;triangulaire;rectorat;tant gestionnaire puisque;derrière;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;true
2;du fait que par rapport à;de peur que;55.28;36.07;21682;lors;loufoque en face de;hé;entre;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;false
3;membre à vie parlementaire;négliger personnel;19.85;84.92;19671;main-d’œuvre afin que tellement;foule rapprocher;administration;beaucoup que;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;true
4;étant donné que;conseil d’administration crac;36.75;8.66;26116;hormis;actionnaire du côté de plouf;foule;vroum constater équilibrer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;false
5;avare;interrompre vivace vu que;75.27;37.25;24390;vu que miam;sans espiègle;avant;électorat gigantesque quand;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;false
6;dès que aimable biathlète;étrangler;71.79;95.44;7714;incalculable;devant disposer;outre à l'exception de spécialiste;ah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;false
7;délégation;en dehors de;20.07;177.14;4652;ronron de sorte que;efficace;d’autant que ouf;lunatique quelque smack;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;false
8;hebdomadaire;coac coac;3.07;177.41;13093;quoique ha tellement;aïe ensemble prévoir;sur;miam;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;true
9;population du Québec aigre complètement;aussi sans;-50.69;124.52;5019;peu assez moins;chef de cuisine même probablement;de sorte que même marron;équipe de recherche au point que;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;true
10;ramener;électorat;-61.95;-39.64;30826;charitable établir équipe de recherche;élaborer;enfoncer;dès insulter;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;false
