id;numero_vehicule;plaque;modele;constructeur;capacite;capacite_debout;annee_fabrication;energie;autonomie_km;gps_device_id;gps_status;gps_last_ping;gps_battery_level;current_latitude;current_longitude;current_vitesse;current_cap;position_updated_at;statut;date_mise_en_service;date_dernier_entretien;prochain_entretien_km
1;tant hôte parlementaire;commis chef;tellement agir en faveur de;sur carrément vouh;158;43;2081;DIESEL;3797;membre de l’équipe tic-tac;smack prévaloir;2026-02-21T18:44:53;87;1361.17;16446.68;28603.55;122;2026-02-21T23:35:06;BROKEN_DOWN;2026-02-21;2026-02-21;10048
2;pauvre;même si près de à demi;souple;infime boum responsable;48;38;2099;DIESEL;18083;super;ici alentour;2026-02-21T07:09:04;66;762.94;22027.46;24758.42;221;2026-02-21T10:38:39;ON_BREAK;2026-02-21;2026-02-21;1694
3;au-devant moyennant;étant donné que adversaire fonctionner;incalculable;que de peur de d’autant que;96;92;2017;HYBRID;1159;parce que en faveur de jeune enfant;étant donné que administration;2026-02-21T12:15:04;57;5997.2;16345.01;13763.13;325;2026-02-21T15:27:35;OUT_OF_SERVICE;2026-02-21;2026-02-21;1755
4;juriste;divinement;rose;cocorico;5;43;2013;ELECTRIC;13990;pourvu que touchant;pendant que peser tellement;2026-02-21T21:18:20;14;28416.3;23405.9;26258.06;93;2026-02-21T17:20:19;ON_BREAK;2026-02-21;2026-02-21;14116
5;fêter;de façon à ce que clientèle;hystérique;associer que;59;1;2040;DIESEL;173;en bas de cyan à l'entour de;dans la mesure où de la part de cadre;2026-02-21T08:37:20;0;10993.61;18677.67;13255.17;337;2026-02-21T04:43:29;OUT_OF_SERVICE;2026-02-21;2026-02-21;16398
6;au point que à peu près;étant donné que;du fait que durant;smack juriste outre;1;96;2075;CNG;11895;incarner;quand vivace toc-toc;2026-02-21T00:10:22;26;19888.64;28841;18587.61;118;2026-02-21T16:05:41;IN_SERVICE;2026-02-21;2026-02-21;10702
7;de peur que;pourvu que vouh entrevoir;sous couleur de;groin groin;83;30;2093;CNG;4594;tellement splendide;conseil municipal croâ;2026-02-21T14:01:01;13;30418.78;16671.16;27089.31;53;2026-02-21T19:28:42;UNDER_MAINTENANCE;2026-02-21;2026-02-21;20264
8;traîner police nonobstant;triathlète chef du fait que;renaître;de façon à;52;32;1999;CNG;23813;lectorat mouiller;fixer exécuter;2026-02-21T12:21:29;14;542.6;4343.67;15697.66;87;2026-02-21T23:23:25;ON_BREAK;2026-02-21;2026-02-21;6830
9;dehors par rapport à extatique;à travers adopter;en guise de;triathlète âcre;180;9;2079;CNG;7826;patientèle tandis que tant que;rose propre toc;2026-02-21T19:29:34;87;19193.56;6703.83;5570.72;158;2026-02-21T12:29:44;UNDER_MAINTENANCE;2026-02-20;2026-02-21;20739
10;franco en;participer loin de;horrible personnel professionnel;ainsi;58;56;2028;ELECTRIC;10767;hé;bof smack;2026-02-21T16:39:57;26;25452.58;9944.75;22948.9;226;2026-02-21T06:38:02;IN_SERVICE;2026-02-21;2026-02-21;31770
