id;type;cible_id;nom_personnalise;ordre;date_ajout;dernier_acces
1;ROUTE;5195;au-dessous de fourbe;10567;2026-02-21T19:41:11;2026-02-21T12:59:00
2;STOP;22897;solitaire;30464;2026-02-21T05:55:24;2026-02-21T20:36:21
3;LINE;14390;lectorat sitôt que explorer;2818;2026-02-21T12:37:35;2026-02-21T11:23:08
4;ROUTE;14202;manier;10601;2026-02-21T22:10:24;2026-02-21T11:05:36
5;LINE;32041;parce que atténuer assurément;6861;2026-02-21T07:03:37;2026-02-21T18:17:25
6;LINE;1579;oui;18236;2026-02-21T23:01:23;2026-02-21T10:24:59
7;LINE;9280;référer hé de façon à ce que;27427;2026-02-21T10:29:19;2026-02-21T17:31:15
8;ROUTE;2170;au-dessous baisser;27984;2026-02-21T17:41:51;2026-02-21T10:20:49
9;ROUTE;28007;beaucoup ensuite probablement;6386;2026-02-21T03:47:46;2026-02-21T03:07:10
10;STOP;25389;moyennant auprès de contre;24358;2026-02-21T01:32:14;2026-02-21T17:08:28
