id;date_declenchement;bus_numero;distance_reelle;temps_reel;type_declenchement;notification_envoyee;date_lecture
1;2026-02-22T01:22:18;pour jeune enfant;8230;2227;AND_BOTH;true;2026-02-22T20:38:17
2;2026-02-22T16:02:36;insipide population du Québec;16691;4040;OR_BOTH;false;2026-02-22T14:20:30
3;2026-02-22T03:52:55;au-delà derechef;8701;26695;OR_BOTH;false;2026-02-22T17:21:39
4;2026-02-22T23:25:47;porte-parole;25341;17141;OR_BOTH;false;2026-02-22T19:48:18
5;2026-02-22T10:43:45;jeune enfant;12467;20264;TIME;true;2026-02-22T19:02:27
6;2026-02-22T11:49:24;de peur que concernant;28202;25485;DISTANCE;true;2026-02-22T19:53:08
7;2026-02-22T12:56:32;blême;30263;8523;OR_BOTH;false;2026-02-22T19:51:30
8;2026-02-22T07:00:18;terne chut entièrement;28658;25210;DISTANCE;true;2026-02-22T06:06:58
9;2026-02-22T17:40:04;tant dépenser;16038;15684;OR_BOTH;true;2026-02-22T18:43:49
10;2026-02-22T23:55:45;auprès de ouin;30661;425;DISTANCE;false;2026-02-22T04:02:43
