id;numero;nom;direction;description;couleur;distance_km;duree_moyenne;frequence;statut;jours_feries;date_debut;date_fin;actif
1;collègue t;loin de coûter fonctionnaire;afin que ferme ainsi;../fake-data/blob/hipster.txt;après;22737.54;31074;2;UNDER_CONSTRUCTION;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;true
2;ci à l'ins;diététiste;cocorico hystérique;../fake-data/blob/hipster.txt;exagérer malade;27323.11;20622;17;CLOSED;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;true
3;charitable;guère;étrangler;../fake-data/blob/hipster.txt;coin-coin;13932.72;15736;58;CLOSED;../fake-data/blob/hipster.txt;2026-02-21;2026-02-20;false
4;de façon à;prou;premièrement;../fake-data/blob/hipster.txt;communauté étudiante de manière à ce que;22860.08;20793;40;UNDER_CONSTRUCTION;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;false
5;adorable;a tantôt ah;deçà tant;../fake-data/blob/hipster.txt;psitt à raison de;9422.56;15593;27;ACTIVE;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;true
6;aimable ru;sauvage sous couleur de;électorat après de crainte que;../fake-data/blob/hipster.txt;vaste secouer achever;15013.2;2727;59;ACTIVE;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;true
7;parler;tellement;sage jeune;../fake-data/blob/hipster.txt;au-dessus à l'entour de chier;4178.32;14976;21;UNDER_CONSTRUCTION;../fake-data/blob/hipster.txt;2026-02-20;2026-02-21;true
8;bâtir désa;bang;de façon à ce que blesser;../fake-data/blob/hipster.txt;présidence volontiers;28444.73;16217;59;UNDER_CONSTRUCTION;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;false
9;repérer;sitôt que moderne enterrer;du fait que;../fake-data/blob/hipster.txt;membre titulaire fourrer au point que;26495.95;3893;48;CLOSED;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;false
10;remplacer ;à défaut de;inviter;../fake-data/blob/hipster.txt;sincère doucement alentour;7462.26;1105;48;UNDER_CONSTRUCTION;../fake-data/blob/hipster.txt;2026-02-21;2026-02-21;true
