id;ordre;temps_trajet_depart;distance_depart;ligne_id;arret_id
1;1;0;0.0;1;1
2;2;15;8.5;1;2
3;3;30;15.2;1;3
4;1;0;0.0;2;1
5;2;12;7.8;2;12
6;3;25;15.1;2;5
7;4;40;18.3;2;3
8;1;0;0.0;3;8
9;2;10;3.5;3;9
10;3;20;7.2;3;18
11;4;30;11.8;3;7
12;5;45;14.2;3;11
13;1;0;0.0;4;12
14;2;8;2.8;4;5
15;3;15;5.5;4;6
16;4;25;9.8;4;4
17;5;40;12.8;4;20
18;1;0;0.0;7;4
19;2;5;1.2;7;5
20;3;12;3.8;7;7
21;4;25;8.5;7;10
22;1;0;0.0;8;14
23;2;12;6.2;8;13
24;3;30;15.5;8;5
25;4;45;22.8;8;6
26;5;60;28.3;8;3
27;1;0;0.0;9;13
28;2;15;8.5;9;14
29;3;35;18.2;9;2
30;4;50;26.5;9;5
31;5;70;35.7;9;11
32;1;0;0.0;11;17
33;2;8;3.2;11;19
34;3;18;7.8;11;16
35;4;30;12.5;11;15
36;5;45;18.9;11;20
37;1;0;0.0;15;14
38;2;12;6.8;15;17
39;3;28;15.2;15;19
40;4;45;24.5;15;8
41;5;65;35.8;15;4
42;6;80;42.6;15;5
