id;nom;type;periode_debut;periode_fin;format;contenu;date_generation;genere_par
1;outre;WEEKLY;2026-02-22;2026-02-22;CSV;../fake-data/blob/hipster.txt;2026-02-22T07:15:58;de par rembourser
2;secouriste tendre si;CUSTOM;2026-02-22;2026-02-22;CSV;../fake-data/blob/hipster.txt;2026-02-22T13:23:14;vis-à-vie de approfondir un peu
3;hors de;CUSTOM;2026-02-22;2026-02-22;CSV;../fake-data/blob/hipster.txt;2026-02-22T11:07:36;bang pff
4;personnel savoir bien que;MONTHLY;2026-02-22;2026-02-22;PDF;../fake-data/blob/hipster.txt;2026-02-22T17:55:21;gens vouh
5;pour touriste oui;WEEKLY;2026-02-22;2026-02-22;EXCEL;../fake-data/blob/hipster.txt;2026-02-22T13:35:29;touchant maigre en vérité
6;hé grrr;WEEKLY;2026-02-22;2026-02-22;EXCEL;../fake-data/blob/hipster.txt;2026-02-22T07:41:11;derechef là pacifique
7;en decà de décrocher;WEEKLY;2026-02-22;2026-02-22;PDF;../fake-data/blob/hipster.txt;2026-02-22T21:00:00;remplir du côté de
8;pacifique;WEEKLY;2026-02-22;2026-02-22;CSV;../fake-data/blob/hipster.txt;2026-02-22T05:39:36;subito hé d'avec
9;lors de;MONTHLY;2026-02-22;2026-02-22;EXCEL;../fake-data/blob/hipster.txt;2026-02-22T22:52:43;occuper rose
10;en guise de signifier;WEEKLY;2026-02-22;2026-02-22;CSV;../fake-data/blob/hipster.txt;2026-02-22T04:31:21;perdre puisque
