id;latitude;longitude;vitesse;cap;jhi_precision;timestamp;source;evenement;commentaire
1;23503.23;11829.34;2628.41;269;14742;2026-02-21T01:16:58;ONBOARD_GPS;pin-pon;../fake-data/blob/hipster.txt
2;2392.85;28796.32;9639.53;244;22137;2026-02-21T17:42:07;MANUAL;entraîner adepte;../fake-data/blob/hipster.txt
3;3824.88;6097.53;18425.02;247;427;2026-02-21T17:16:11;ONBOARD_GPS;brave pschitt;../fake-data/blob/hipster.txt
4;28847.17;8859.6;13386.45;300;7453;2026-02-21T13:27:05;MANUAL;administration de façon à ce que;../fake-data/blob/hipster.txt
5;5060.97;26422.02;2213.88;194;27386;2026-02-21T13:48:29;MANUAL;dès que;../fake-data/blob/hipster.txt
6;4842.02;9389.89;21661.43;286;30347;2026-02-21T07:28:37;DRIVER_APP;photographier;../fake-data/blob/hipster.txt
7;23401.53;31573.28;15401.71;220;2284;2026-02-21T08:56:35;ONBOARD_GPS;ainsi explorer;../fake-data/blob/hipster.txt
8;17622.49;6546.93;22376.85;358;7263;2026-02-21T19:19:35;ONBOARD_GPS;selon miam;../fake-data/blob/hipster.txt
9;22931.76;2783.02;21610.94;308;10092;2026-02-21T13:33:36;DRIVER_APP;admirablement délectable;../fake-data/blob/hipster.txt
10;26997.07;24341.82;17962.84;112;8639;2026-02-21T14:25:11;ONBOARD_GPS;fermer;../fake-data/blob/hipster.txt
